Job Title,Industry,Job Status,AI Impact Level,Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Median Salary (USD)
Maintenance engineer,IT,Increasing,High,Master’s Degree,18,4855,1137,33.7,31.13,India,70.28,133077.08
Minerals surveyor,IT,Decreasing,Low,PhD,11,5823,1609,53.13,56.74,Australia,44.96,116733.36
Dispensing optician,Finance,Decreasing,High,PhD,8,2213,9114,59.09,89.39,Brazil,28.09,57776.29
"Engineer, biomedical",Transportation,Increasing,High,Associate Degree,1,9252,3331,80.67,37.88,UK,27.65,47465.83
Product/process development scientist,Retail,Decreasing,Moderate,Associate Degree,3,2269,1202,50.08,18.68,Australia,20.53,100610.2
Charity fundraiser,Manufacturing,Decreasing,Low,Bachelor’s Degree,5,6672,2375,36.83,46.09,USA,28.98,115063.75
Communications engineer,Entertainment,Decreasing,High,PhD,18,8941,8964,57.64,79.52,India,60.32,55470.71
"Geologist, wellsite",Education,Increasing,Moderate,Bachelor’s Degree,9,3325,314,12.24,40.42,USA,58.94,103675.67
Metallurgist,Healthcare,Decreasing,Moderate,Master’s Degree,7,4862,233,68.51,84.23,USA,22.86,49073.98
Management consultant,IT,Decreasing,High,Associate Degree,11,9659,4767,96.35,91.77,India,76.79,76528.76
Radiation protection practitioner,Healthcare,Decreasing,High,Bachelor’s Degree,19,3685,8065,49.2,93.59,UK,47.05,53050.35
Herpetologist,Transportation,Increasing,Low,PhD,4,4659,827,59.64,50.01,UK,41.63,124100.98
"Scientist, clinical (histocompatibility and immunogenetics)",Entertainment,Increasing,High,High School,17,4510,5740,44.58,10.73,China,68.43,54295.89
"Scientist, water quality",Healthcare,Increasing,Low,PhD,9,2561,568,29.74,62.74,Germany,36.35,140292.94
"Engineer, site",Entertainment,Increasing,Low,High School,19,2970,4152,13.54,38.83,UK,58.37,63751.24
Warehouse manager,Manufacturing,Decreasing,High,PhD,18,4197,5463,62.51,38.98,China,21.18,80463.82
Emergency planning/management officer,Finance,Decreasing,Moderate,Master’s Degree,9,9706,7432,81.66,14.59,Brazil,35.01,97185.1
Commissioning editor,Transportation,Increasing,High,High School,1,4366,6578,81.53,53.5,China,25.33,128174.19
"Designer, industrial/product",IT,Increasing,High,PhD,4,8543,2948,73.99,63.89,China,28.08,67336.38
"Engineer, chemical",Healthcare,Increasing,Moderate,PhD,14,6232,5963,87.79,86.75,China,55.54,77976.73
"Production assistant, radio",Finance,Decreasing,High,Associate Degree,6,9334,1229,72.91,17.75,USA,45.61,118656.77
"Radiographer, diagnostic",Manufacturing,Increasing,Moderate,High School,15,716,1421,63.31,83.37,USA,45.45,109363.8
"Therapist, art",Manufacturing,Decreasing,High,Bachelor’s Degree,13,5198,4497,85.72,5.5,China,45.24,127325.63
Sports administrator,Transportation,Increasing,High,Bachelor’s Degree,16,5800,1483,92.87,1.34,UK,40.75,65203.63
Land/geomatics surveyor,Entertainment,Increasing,High,PhD,13,6379,9239,65.45,26.9,Australia,32.45,106484.71
Dispensing optician,Healthcare,Increasing,Moderate,High School,20,8221,689,69.67,41.27,UK,27.92,40680.92
"Engineer, petroleum",IT,Increasing,Low,High School,9,3150,7283,85.47,83.82,Canada,33.97,93132.2
Environmental consultant,Finance,Decreasing,Low,High School,5,725,7959,22.41,9.29,Germany,65.17,70636.08
Nutritional therapist,Manufacturing,Decreasing,Moderate,Master’s Degree,5,7692,2516,48.23,66.96,Brazil,60.27,59802.58
Estate agent,Transportation,Increasing,High,Associate Degree,12,9394,6197,69.91,26.75,USA,20.1,37521.11
"Surveyor, land/geomatics",Healthcare,Decreasing,High,High School,13,5981,3903,90.33,46.37,Canada,43.07,134858.43
"Surveyor, mining",Transportation,Increasing,High,PhD,3,7952,7741,56.5,3.88,China,79.81,72072.56
Telecommunications researcher,Manufacturing,Increasing,Moderate,Master’s Degree,11,4119,209,0.07,40.54,China,43.09,72955.85
"Geneticist, molecular",Entertainment,Decreasing,High,Associate Degree,19,1413,4633,36.73,27.73,UK,56.82,98646.16
"Teacher, music",Healthcare,Decreasing,Moderate,Bachelor’s Degree,16,3726,8061,40.54,33.28,China,51.83,67922.22
Risk manager,Retail,Increasing,High,PhD,18,1859,9438,7.65,10.8,Canada,43.18,97825.2
Medical illustrator,Manufacturing,Increasing,Moderate,Master’s Degree,15,5714,5142,79.6,5.17,Germany,24.35,38662.87
Financial manager,Transportation,Decreasing,High,High School,16,4239,6675,43.39,94.29,UK,45.04,123539.69
Stage manager,Finance,Increasing,High,Master’s Degree,10,7430,4607,30.27,84.11,UK,53.57,66380.65
Advice worker,Healthcare,Decreasing,Moderate,Master’s Degree,9,4046,427,13.92,79.65,China,60.74,140644.5
Public relations account executive,Transportation,Decreasing,Moderate,High School,7,8238,4464,17.77,58.97,Germany,76.74,124986.07
"Exhibitions officer, museum/gallery",Transportation,Decreasing,High,Bachelor’s Degree,16,8980,7505,12.42,26.17,UK,67.82,100285.39
Restaurant manager,Finance,Increasing,Moderate,PhD,12,2522,3412,53.7,88.59,China,68.78,71389.58
Outdoor activities/education manager,Retail,Increasing,Moderate,High School,5,3041,4062,40.46,49.29,Canada,78.86,135416.25
"Therapist, music",Healthcare,Increasing,High,Bachelor’s Degree,20,9385,6648,13.4,40.82,China,61.13,68520.47
Bonds trader,Entertainment,Increasing,Low,Bachelor’s Degree,1,3414,4166,4.39,88.13,Canada,74.98,137217.74
"Psychotherapist, child",Transportation,Decreasing,Low,PhD,15,208,5408,90.18,49.81,Australia,72.6,136738.14
"Psychologist, forensic",IT,Decreasing,High,High School,13,7295,8253,62.04,91.45,Brazil,52.45,49453.27
Psychiatrist,IT,Increasing,Low,Master’s Degree,1,6974,8393,51.08,55.84,Australia,61.38,110510.75
Occupational therapist,Transportation,Decreasing,Low,Bachelor’s Degree,10,1705,6353,53.85,18.45,USA,25.96,95174.15
"Buyer, industrial",Entertainment,Decreasing,High,Bachelor’s Degree,20,2281,8604,97.5,58.18,Brazil,41.49,141668.43
"Engineer, technical sales",Retail,Increasing,Moderate,Associate Degree,20,2661,2080,91.21,74.06,Germany,67.4,134088.87
Occupational psychologist,Manufacturing,Decreasing,Moderate,Associate Degree,0,3504,6647,12.52,36.61,Canada,60.28,123773.43
Corporate investment banker,IT,Decreasing,High,Master’s Degree,15,3617,6863,52.06,54.46,Germany,47.94,85632.05
Travel agency manager,IT,Increasing,Low,PhD,4,2547,5593,88.24,79.22,Australia,58.46,95360.64
Aeronautical engineer,Retail,Decreasing,High,Associate Degree,14,9231,9050,65.26,16.3,Canada,66.21,117057.24
Building surveyor,Entertainment,Decreasing,Moderate,High School,6,2612,2924,76.67,12.64,Canada,78.88,32605.44
Database administrator,Retail,Decreasing,Low,High School,12,7150,3016,39.34,95.58,India,46.34,98235.25
"Physicist, medical",Transportation,Decreasing,Low,PhD,16,5847,7119,77.68,91.17,China,29.09,112494.22
Financial planner,Manufacturing,Increasing,High,PhD,7,2654,2710,16.47,17.21,USA,59.07,125853.51
"Teacher, primary school",Transportation,Increasing,Moderate,PhD,13,4646,4368,79.36,54.33,India,38.07,85927.02
Air cabin crew,Finance,Increasing,Moderate,Bachelor’s Degree,14,8266,8483,40.74,86.37,UK,47.48,110826.81
"Editor, commissioning",Retail,Increasing,Moderate,Associate Degree,2,8499,2666,85.26,37.78,Australia,78.51,53613.17
Industrial buyer,Healthcare,Decreasing,High,Master’s Degree,5,1966,446,31.95,75.36,Brazil,20.78,144586.81
Geophysical data processor,Education,Increasing,Low,Associate Degree,19,4617,5432,81.49,67.53,India,34.96,142458.61
Best boy,Retail,Decreasing,Moderate,High School,3,391,7353,3.18,10.42,Brazil,55.54,67487.53
Community arts worker,Retail,Decreasing,High,Associate Degree,20,6453,5588,53.09,66.34,Canada,60.23,79141.44
Financial trader,Finance,Increasing,High,PhD,6,4452,8696,36.22,4.13,India,46.81,104060.1
"Scientist, biomedical",Healthcare,Increasing,High,Master’s Degree,19,4215,4876,30.49,80.93,USA,79.62,117732.11
Firefighter,Healthcare,Increasing,Moderate,High School,18,3973,9238,59.58,41.97,China,28.32,91302.57
Quantity surveyor,Transportation,Increasing,Moderate,High School,19,8335,9407,97.24,20.47,India,27.18,75685.52
"Producer, television/film/video",Transportation,Decreasing,High,Master’s Degree,14,5502,8232,34.78,38.42,Brazil,65.64,141402.69
Television/film/video producer,Education,Increasing,Moderate,Bachelor’s Degree,15,7243,7088,51.66,83.83,Germany,22.22,40773.59
Glass blower/designer,IT,Increasing,Low,Associate Degree,3,4193,6686,65.98,6.13,India,67.72,54046.51
Archaeologist,Transportation,Decreasing,High,High School,1,7658,7757,83.81,32.57,Germany,65.2,80345.17
"Therapist, nutritional",Healthcare,Increasing,Moderate,PhD,2,8803,9536,50.76,0.09,Brazil,46.67,34790.14
"Producer, television/film/video",Healthcare,Decreasing,Moderate,Master’s Degree,15,1382,8986,38.56,24.56,Brazil,47.17,122648.58
"Social research officer, government",Entertainment,Increasing,Moderate,PhD,7,2776,7353,68.88,96.35,Australia,31.04,39245.83
Adult nurse,Education,Decreasing,Moderate,PhD,12,2226,9922,64.28,74.48,Canada,61.79,119195.08
Proofreader,Healthcare,Decreasing,High,Master’s Degree,4,6415,8190,57.56,77.33,UK,74.29,131698.28
"Designer, television/film set",Healthcare,Increasing,Moderate,Bachelor’s Degree,11,7283,3528,48.77,40.76,Germany,50.25,74806.34
Visual merchandiser,Manufacturing,Decreasing,Moderate,High School,19,8767,3151,57.77,27.41,USA,64.82,32460.89
Associate Professor,Education,Increasing,Low,Associate Degree,7,6033,2035,94.39,54.6,UK,68.12,36083.12
"Designer, furniture",Entertainment,Increasing,High,High School,11,7589,1584,74.79,47.83,Germany,54.82,75354.54
Secretary/administrator,Finance,Decreasing,Low,Associate Degree,20,1430,2544,24.68,55.83,Germany,79.28,37783.27
Dance movement psychotherapist,Education,Decreasing,Low,Bachelor’s Degree,16,4263,8020,77.22,50.66,China,58.3,147955.23
Museum/gallery curator,Entertainment,Increasing,Moderate,Master’s Degree,16,3946,3996,62.19,10.34,India,22.41,139768.78
Audiological scientist,Transportation,Increasing,High,PhD,18,2694,4996,3.35,93.38,USA,56.65,127676.96
"Engineer, automotive",Education,Decreasing,High,Associate Degree,4,4512,6994,96.96,89.38,India,30.37,89628.78
Lawyer,Transportation,Decreasing,High,Master’s Degree,19,8939,1829,29.44,45.5,Australia,51.77,72840.96
"Therapist, occupational",Transportation,Increasing,High,PhD,1,4840,3975,13.78,51.98,Australia,72.69,105090.81
"Engineer, agricultural",Transportation,Decreasing,High,Associate Degree,7,8423,8129,18.82,88.57,USA,37.37,145476.98
Equality and diversity officer,Retail,Increasing,High,High School,1,9781,1964,4.58,87.16,India,20.12,138543.07
Armed forces logistics/support/administrative officer,Retail,Increasing,High,Associate Degree,6,6108,2516,70.42,0.0,USA,53.43,63266.98
"Administrator, Civil Service",Finance,Increasing,High,Master’s Degree,17,6457,7099,70.51,24.12,Australia,23.36,134949.98
Air traffic controller,Entertainment,Increasing,High,High School,14,7387,7205,64.18,37.75,UK,39.19,58616.97
"Designer, ceramics/pottery",Healthcare,Decreasing,Moderate,Associate Degree,5,3131,2503,76.52,85.9,China,77.62,43058.51
Hydrogeologist,Finance,Decreasing,Moderate,PhD,18,1189,5470,66.78,85.49,UK,72.52,85640.86
Financial risk analyst,Entertainment,Decreasing,Moderate,Bachelor’s Degree,0,6676,439,6.76,73.24,Brazil,68.13,122851.57
"Merchandiser, retail",Manufacturing,Increasing,Low,High School,12,6050,4543,43.18,63.9,India,77.64,108691.66
Clinical psychologist,Entertainment,Increasing,High,Associate Degree,14,4874,8765,22.42,33.97,Australia,52.33,149538.73
"Loss adjuster, chartered",Finance,Increasing,Moderate,Associate Degree,14,3451,559,20.67,20.52,Germany,47.63,55990.95
"Therapist, art",Education,Decreasing,High,Bachelor’s Degree,8,7462,5067,65.15,52.82,Germany,64.85,75903.05
Armed forces operational officer,Finance,Increasing,Moderate,High School,4,3467,2457,18.18,20.06,Australia,34.4,37433.03
Economist,Education,Increasing,High,Associate Degree,9,8366,6024,88.28,18.96,USA,36.83,41307.77
Physiological scientist,Entertainment,Increasing,Low,Master’s Degree,8,7451,4358,88.3,99.02,Australia,21.81,78781.16
"Surveyor, building",Education,Increasing,High,Master’s Degree,9,2604,3762,48.33,57.48,UK,37.9,76279.21
Sport and exercise psychologist,Manufacturing,Decreasing,High,Bachelor’s Degree,16,3440,1994,87.42,18.5,USA,49.7,135996.75
Ecologist,Retail,Increasing,Low,PhD,6,9554,9567,25.55,50.61,USA,62.84,140547.87
Podiatrist,Manufacturing,Decreasing,Moderate,High School,9,1769,5453,49.8,67.37,Canada,20.26,139906.23
Geophysical data processor,Manufacturing,Decreasing,High,High School,1,6872,8998,42.75,94.78,Brazil,42.38,138381.87
Marine scientist,Healthcare,Decreasing,Moderate,Master’s Degree,12,8938,6949,1.83,18.08,UK,29.68,61297.26
Training and development officer,IT,Decreasing,Low,Master’s Degree,13,6874,4577,69.04,20.72,Canada,41.55,57764.64
"Scientist, marine",Entertainment,Increasing,Low,Master’s Degree,16,7276,7888,63.11,25.98,Canada,59.29,82167.48
Secondary school teacher,Manufacturing,Decreasing,Moderate,Associate Degree,4,2299,8097,36.98,90.97,Canada,57.45,97234.63
"Designer, industrial/product",Entertainment,Increasing,Low,PhD,15,9829,8737,89.79,81.82,Germany,50.24,48533.77
"Scientist, marine",Finance,Decreasing,Low,Bachelor’s Degree,17,7343,7943,93.1,66.13,Canada,31.34,133849.94
Optometrist,Finance,Increasing,Low,Master’s Degree,11,9214,7883,2.15,33.29,Brazil,65.87,134556.01
"Teacher, music",Manufacturing,Increasing,Moderate,Master’s Degree,7,4461,2934,10.87,61.07,USA,77.96,92921.31
Social worker,Healthcare,Increasing,Moderate,Master’s Degree,8,4914,3777,45.94,53.06,USA,39.55,32750.69
Fitness centre manager,Finance,Decreasing,High,High School,16,7717,6747,40.53,82.98,Canada,62.14,103735.69
Communications engineer,Retail,Increasing,High,Bachelor’s Degree,4,9188,2509,93.96,23.51,Canada,65.33,66152.79
Education administrator,Education,Increasing,High,High School,19,9499,5846,31.48,8.7,UK,69.42,44984.9
"Psychologist, educational",Entertainment,Decreasing,Moderate,Master’s Degree,9,9698,4751,49.25,56.57,Germany,66.62,90185.81
Chemical engineer,Healthcare,Decreasing,Low,Master’s Degree,17,4114,7388,70.21,19.86,Brazil,54.1,63271.86
Building services engineer,IT,Increasing,Low,Bachelor’s Degree,14,1931,4241,60.92,48.96,Canada,67.28,126931.04
Medical physicist,Manufacturing,Decreasing,Low,Master’s Degree,19,2436,8242,86.63,48.9,Australia,34.05,43965.32
Occupational psychologist,Finance,Increasing,Low,Master’s Degree,14,8833,8532,73.75,46.23,Australia,27.34,127903.47
Art therapist,Finance,Increasing,High,High School,9,3984,1567,65.63,10.73,USA,24.4,34410.58
Manufacturing systems engineer,Entertainment,Increasing,Low,Master’s Degree,6,3493,8547,95.63,39.92,UK,25.84,148084.17
Brewing technologist,Manufacturing,Decreasing,Low,High School,0,6673,1036,45.48,40.48,Brazil,20.01,64534.59
Planning and development surveyor,Manufacturing,Decreasing,High,Bachelor’s Degree,10,2598,2657,41.14,11.29,India,24.85,111781.46
Volunteer coordinator,Healthcare,Decreasing,Low,High School,5,2077,8376,80.62,20.85,USA,64.22,109757.81
Data scientist,Manufacturing,Decreasing,High,High School,3,2140,6663,70.63,4.0,USA,70.98,117976.89
Occupational psychologist,Education,Decreasing,Moderate,High School,2,136,1016,26.49,21.91,UK,25.2,39596.11
Equities trader,Education,Decreasing,Low,Bachelor’s Degree,18,423,5682,51.51,66.74,UK,61.56,70428.73
Clinical embryologist,Education,Increasing,Moderate,High School,18,2914,4579,93.56,7.28,Canada,30.66,94339.7
Environmental education officer,IT,Increasing,High,PhD,11,2393,1672,86.91,31.81,Australia,57.3,66827.32
"Engineer, building services",Finance,Increasing,Moderate,Bachelor’s Degree,5,1322,7055,47.71,88.77,Canada,25.95,70591.74
Optometrist,Entertainment,Increasing,Low,Bachelor’s Degree,10,8542,4889,62.2,26.66,Australia,67.75,76652.21
Fisheries officer,Retail,Decreasing,Moderate,Associate Degree,5,8510,3421,55.85,4.45,Canada,57.39,83865.64
Sports administrator,Education,Decreasing,Moderate,Master’s Degree,14,6848,4926,35.74,5.56,Canada,74.04,130609.81
"Administrator, education",Entertainment,Increasing,Low,Associate Degree,9,4617,8974,33.58,59.73,USA,26.37,101214.95
Herbalist,Manufacturing,Increasing,High,Master’s Degree,11,813,2546,95.92,50.01,India,64.31,106276.67
"Engineer, mining",Education,Increasing,High,PhD,12,4342,6012,21.4,80.13,Brazil,58.75,80093.81
Artist,Education,Increasing,High,PhD,15,787,7421,43.64,58.61,UK,68.54,66005.61
Water engineer,Healthcare,Increasing,Moderate,Associate Degree,6,6743,4151,13.07,72.23,Canada,21.97,118910.36
"Scientist, marine",Healthcare,Increasing,Moderate,Master’s Degree,11,7178,258,87.74,52.61,India,58.84,54058.89
Estate manager/land agent,Retail,Increasing,High,High School,15,5335,5714,6.39,10.56,Brazil,74.51,95370.88
Information systems manager,Education,Increasing,Moderate,High School,4,1871,9852,18.33,32.42,Australia,46.8,138004.22
"Administrator, sports",IT,Decreasing,Low,PhD,17,5963,2929,37.37,39.02,UK,76.48,140447.06
Exercise physiologist,Finance,Increasing,Low,Associate Degree,11,4482,8722,72.62,20.77,Canada,39.03,36146.81
Farm manager,IT,Increasing,Moderate,PhD,15,1319,5491,34.2,56.06,Australia,77.85,110560.43
Minerals surveyor,Finance,Increasing,Moderate,Associate Degree,7,8982,6353,14.33,33.09,USA,55.28,114617.5
"Therapist, art",Manufacturing,Decreasing,Low,Bachelor’s Degree,14,1517,5410,6.87,18.18,China,38.54,80428.46
Call centre manager,Manufacturing,Increasing,High,Bachelor’s Degree,2,2250,171,63.59,37.81,Canada,60.34,44787.53
Copy,Retail,Decreasing,Moderate,Master’s Degree,16,6155,2257,6.37,59.99,Canada,56.2,47248.47
Broadcast journalist,Healthcare,Increasing,High,PhD,18,1988,3240,47.45,55.06,USA,35.91,111122.42
Insurance account manager,Education,Increasing,Low,High School,5,381,9251,45.07,3.57,Germany,56.4,116484.25
Medical sales representative,Transportation,Decreasing,Low,Associate Degree,0,8010,6474,67.09,34.08,Brazil,69.54,36391.64
Lawyer,Manufacturing,Decreasing,High,PhD,12,4815,8164,44.7,19.74,USA,74.7,107969.24
"Producer, radio",Education,Decreasing,Low,PhD,18,3159,9421,71.26,93.48,Canada,56.25,116993.45
Food technologist,Manufacturing,Increasing,Moderate,Associate Degree,15,3460,9892,88.95,39.17,Canada,42.42,66683.48
"Scientist, audiological",Healthcare,Increasing,Low,Bachelor’s Degree,18,4621,2604,61.65,51.01,India,40.93,43353.16
"Administrator, education",Retail,Increasing,High,Associate Degree,13,9197,7790,22.74,88.79,UK,57.39,128108.08
Associate Professor,Healthcare,Decreasing,High,Master’s Degree,18,6202,4670,44.23,37.21,India,72.57,137585.77
Acupuncturist,Entertainment,Increasing,Moderate,High School,4,3017,6467,0.19,30.46,India,21.05,92405.86
